term_id,term_text,term_lemma,length_tokens,freq_total,freq_docs,created_at,updated_at
1,Slurm,slurm,1,35,2,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
2,accounting information,accounting information,2,4,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
3,job,job,1,163,4,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
4,job step,job step,2,6,2,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
5,Accounting records,accounting record,2,7,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
6,simple text file,simple text file,3,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
7,database,database,1,31,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
8,Information,information,1,30,3,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
9,sacct command,sacct command,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
10,resource usage,resource usage,2,3,2,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
11,individual tasks,individual task,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
12,load imbalance,load imbalance,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
13,tasks,task,1,64,4,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
14,sstat command,sstat command,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
15,status,statu,1,14,2,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
16,valuable information,valuable information,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
17,imbalance,imbalance,1,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
18,sreport,sreport,1,6,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
19,reports,report,1,2,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
20,particular time interval,particular time interval,3,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
21,distinct plugin types,distinct plugin type,3,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
22,resource accounting,resource accounting,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
23,Slurm configuration parameters,slurm configuration parameter,3,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
24,slurm.conf,slurm.conf,1,7,2,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
25,plugins,plugin,1,4,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
26,AccountingStorageType,accountingstoragetype,1,3,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
27,detailed job,detailed job,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
28,job step information,job step information,3,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
29,text file,text file,2,4,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
30,SlurmDBD,slurmdbd,1,30,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
31,JobAcctGatherType,jobacctgathertype,1,2,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
32,mechanism,mechanism,1,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
33,Supported values,supported value,2,1,1,2025-11-23T21:04:19Z,2025-11-23T21:04:19Z
